State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Nebraska,10/1/2022,1525,1057,69.3,-0.8,1032,25,-22.1,2.3,59,20.4,-34,0.42,23,2.2,38,3.7
Nevada,10/1/2022,2540,1581,62.3,-1.9,1498,83,22.3,5.3,103,66.1,-20,0.81,45,3.0,70,4.6
New Hampshire,10/1/2022,1163,762,65.6,-2.7,743,20,-0.8,2.6,56,55.6,-36,0.35,18,2.6,28,4.1
New Jersey,10/1/2022,7497,4817,64.2,-0.2,4648,169,-13.6,3.5,260,37.6,-91,0.65,89,2.1,153,3.6
New Mexico,10/1/2022,1678,946,56.4,-1.4,913,33,-34.2,3.5,64,48.8,-31,0.52,21,2.4,37,4.3
New York,10/1/2022,16066,9694,60.3,-0.6,9307,388,-6.1,4.0,538,36.2,-150,0.72,168,1.7,278,2.9
North Carolina,10/1/2022,8499,5203,61.2,-0.2,5008,195,2.7,3.7,387,69.0,-192,0.50,146,3.0,238,4.9
North Dakota,10/1/2022,602,413,68.7,-0.6,404,9,-1.3,2.2,29,26.1,-20,0.31,11,2.5,18,4.2
Ohio,10/1/2022,9365,5770,61.6,-1.9,5534,236,-11.9,4.1,362,39.8,-126,0.65,134,2.4,219,3.9
Oklahoma,10/1/2022,3103,1912,61.6,0.8,1853,59,2.5,3.1,127,62.8,-68,0.47,47,2.7,80,4.6
Oregon,10/1/2022,3469,2157,62.2,1.2,2066,91,21.7,4.2,143,27.7,-52,0.63,54,2.8,94,4.8
Pennsylvania,10/1/2022,10517,6482,61.6,-1.2,6222,261,-13.4,4.0,413,60.7,-152,0.63,118,2.0,173,2.9
Rhode Island,10/1/2022,906,576,63.6,-0.6,557,19,-10.8,3.2,35,52.2,-16,0.53,12,2.4,20,4.0
South Carolina,10/1/2022,4226,2434,57.6,-0.3,2356,77,13.6,3.2,173,66.3,-96,0.45,70,3.1,110,4.8
South Dakota,10/1/2022,697,474,68.1,-1.1,465,9,-19.4,2.0,26,23.8,-17,0.36,12,2.6,18,3.9
Tennessee,10/1/2022,5621,3368,59.9,-1.5,3254,115,-0.5,3.4,242,47.6,-127,0.47,115,3.5,164,5.0
Texas,10/1/2022,23201,14877,64.1,0.2,14293,584,16.4,3.9,942,78.1,-358,0.62,419,3.1,569,4.2
Utah,10/1/2022,2556,1758,68.8,0.5,1714,44,8.0,2.5,109,43.4,-65,0.40,46,2.7,72,4.2
Vermont,10/1/2022,542,344,63.4,-2.5,336,8,6.6,2.4,22,37.5,-14,0.37,8,2.6,13,4.2
Virginia,10/1/2022,6849,4465,65.2,-0.4,4337,128,-0.1,2.9,348,63.4,-220,0.37,125,3.0,165,4.0
Washington,10/1/2022,6236,3987,63.9,-1.5,3820,167,11.9,4.2,207,25.5,-40,0.81,71,2.0,135,3.8
West Virginia,10/1/2022,1432,781,54.5,-0.4,751,29,-30.3,3.8,63,43.2,-34,0.47,23,3.3,38,5.4
Wisconsin,10/1/2022,4750,3084,64.9,-1.2,2998,86,-10.1,2.8,241,61.7,-155,0.36,70,2.3,100,3.3
Wyoming,10/1/2022,458,293,64.1,-1.7,283,10,-25.5,3.5,19,11.8,-9,0.54,11,3.8,15,5.2
Alabama,9/1/2022,4025,2278,56.6,-0.6,2221,57,-22.7,2.5,153,54.5,-96,0.37,73,3.4,111,5.2
Alaska,9/1/2022,547,353,64.4,0.0,338,14,-24.9,4.0,28,21.7,-14,0.50,14,4.4,20,6.3
Arizona,9/1/2022,5858,3605,61.5,-0.5,3467,138,-18.0,3.8,236,48.4,-98,0.59,95,3.0,145,4.6
Arkansas,9/1/2022,2381,1366,57.4,-0.5,1322,44,-9.1,3.2,96,65.5,-52,0.46,40,3.1,56,4.3
California,9/1/2022,31242,19240,61.6,-1.4,18476,764,-11.2,4.0,1192,53.6,-428,0.64,383,2.2,584,3.3
Colorado,9/1/2022,4688,3176,67.7,-0.9,3088,88,-12.0,2.8,207,66.9,-119,0.42,85,2.9,127,4.4
Connecticut,9/1/2022,2951,1908,64.7,-1.6,1837,71,-5.1,3.7,132,88.6,-61,0.54,37,2.2,59,3.5
Delaware,9/1/2022,825,500,60.7,-0.4,480,21,20.1,4.1,34,54.5,-13,0.61,17,3.6,24,5.1
District of Columbia,9/1/2022,556,396,71.3,-0.2,380,17,-28.1,4.2,41,24.2,-24,0.40,21,2.8,22,2.9
Florida,9/1/2022,18329,10766,58.7,-0.6,10460,306,-1.0,2.8,637,56.1,-331,0.48,267,2.8,398,4.2
Georgia,9/1/2022,8554,5279,61.7,-1.2,5110,169,-10.8,3.2,404,78.0,-235,0.42,192,4.0,253,5.2
Hawaii,9/1/2022,1128,678,60.1,-1.2,656,22,48.7,3.3,37,42.3,-15,0.60,14,2.2,24,3.8
Idaho,9/1/2022,1506,954,63.3,-0.9,925,28,10.7,3.0,63,57.5,-35,0.45,28,3.4,48,5.8
Illinois,9/1/2022,10082,6470,64.2,0.0,6176,294,18.4,4.5,432,65.5,-138,0.68,178,2.9,261,4.3
Indiana,9/1/2022,5363,3395,63.3,-0.9,3288,107,-8.6,3.1,207,38.9,-100,0.52,87,2.7,142,4.4
Iowa,9/1/2022,2517,1704,67.7,-1.5,1652,52,13.1,3.1,118,59.5,-66,0.44,44,2.8,58,3.7
Kansas,9/1/2022,2266,1512,66.7,-0.4,1468,44,-5.7,2.9,101,44.3,-57,0.44,38,2.7,55,3.9
Kentucky,9/1/2022,3544,2044,57.7,-0.9,1961,83,-2.0,4.1,158,79.5,-75,0.53,69,3.5,103,5.2
Louisiana,9/1/2022,3563,2068,58.0,0.0,1995,73,-24.4,3.5,145,48.0,-72,0.51,61,3.1,93,4.8
Maine,9/1/2022,1158,682,58.9,-3.1,664,18,-19.7,2.6,46,43.8,-28,0.39,17,2.7,25,3.9
Maryland,9/1/2022,4912,3175,64.6,-4.6,3085,90,-22.0,2.8,208,37.7,-118,0.43,72,2.6,103,3.7
Massachusetts,9/1/2022,5801,3781,65.2,-1.2,3643,137,16.4,3.6,280,50.5,-143,0.49,75,2.0,131,3.5
Michigan,9/1/2022,8091,4866,60.1,-1.2,4670,195,5.1,4.0,327,55.0,-132,0.60,106,2.4,168,3.8
Minnesota,9/1/2022,4528,3071,67.8,-2.1,2995,76,-31.1,2.5,213,77.5,-137,0.36,78,2.6,104,3.5
Mississippi,9/1/2022,2289,1256,54.9,-1.1,1209,47,-35.6,3.7,91,68.5,-44,0.52,38,3.2,57,4.9
Missouri,9/1/2022,4878,3055,62.6,-1.4,2973,82,-22.5,2.7,211,68.8,-129,0.39,71,2.4,110,3.7
Montana,9/1/2022,899,563,62.7,-1.0,548,15,-22.8,2.7,41,51.9,-26,0.36,20,3.9,29,5.6
Nebraska,9/1/2022,1523,1057,69.4,-0.7,1032,25,-22.3,2.3,67,36.7,-42,0.37,25,2.4,39,3.8
Nevada,9/1/2022,2536,1580,62.3,-1.9,1497,83,21.4,5.2,97,56.5,-14,0.85,47,3.1,75,5.0
New Hampshire,9/1/2022,1162,762,65.6,-2.6,743,19,-1.5,2.6,54,50.0,-35,0.36,20,2.9,30,4.3
New Jersey,9/1/2022,7489,4805,64.2,-0.3,4647,158,-19.0,3.3,248,31.2,-90,0.64,99,2.3,153,3.6
New Mexico,9/1/2022,1677,943,56.3,-1.5,911,33,-35.8,3.4,68,58.1,-35,0.48,23,2.7,38,4.4
New York,9/1/2022,16057,9676,60.3,-0.7,9297,379,-8.2,3.9,520,31.6,-141,0.73,178,1.9,290,3.0
North Carolina,9/1/2022,8485,5199,61.3,-0.1,5003,196,3.1,3.8,363,58.5,-167,0.54,146,3.0,227,4.7
North Dakota,9/1/2022,601,413,68.7,-0.6,404,9,-2.6,2.1,31,34.8,-22,0.28,11,2.6,19,4.4
Ohio,9/1/2022,9360,5767,61.6,-1.9,5530,237,-11.3,4.1,399,54.1,-162,0.59,144,2.6,205,3.7
Oklahoma,9/1/2022,3099,1907,61.5,0.8,1848,60,2.7,3.1,129,65.4,-69,0.46,60,3.5,86,5.0
Oregon,9/1/2022,3467,2158,62.2,1.2,2068,89,19.9,4.1,135,20.5,-46,0.66,56,2.9,93,4.7
Pennsylvania,9/1/2022,10513,6481,61.6,-1.2,6217,263,-12.5,4.1,374,45.5,-111,0.70,123,2.0,179,3.0
Rhode Island,9/1/2022,906,576,63.7,-0.5,557,19,-8.7,3.3,35,52.2,-16,0.54,13,2.6,20,4.0
South Carolina,9/1/2022,4218,2428,57.6,-0.3,2351,78,13.8,3.2,170,63.5,-92,0.46,77,3.4,115,5.1
South Dakota,9/1/2022,696,474,68.1,-1.1,465,9,-18.8,2.0,29,38.1,-20,0.32,13,2.9,19,4.2
Tennessee,9/1/2022,5614,3372,60.1,-1.4,3258,114,-1.3,3.4,266,62.2,-152,0.43,119,3.6,159,4.8
Texas,9/1/2022,23155,14831,64.1,0.2,14263,569,13.3,3.8,992,87.5,-423,0.57,377,2.8,591,4.3
Utah,9/1/2022,2550,1754,68.8,0.5,1711,43,5.9,2.5,114,50.0,-71,0.38,54,3.2,80,4.7
Vermont,9/1/2022,542,343,63.3,-2.5,335,8,7.1,2.4,23,43.8,-15,0.36,8,2.6,12,3.9
Virginia,9/1/2022,6843,4449,65.0,-0.6,4325,124,-3.2,2.8,341,60.1,-217,0.36,117,2.8,165,4.0
Washington,9/1/2022,6230,3983,63.9,-1.5,3818,165,10.7,4.2,219,32.7,-54,0.76,88,2.5,134,3.8
West Virginia,9/1/2022,1432,780,54.5,-0.5,750,30,-28.9,3.8,59,34.1,-29,0.51,24,3.4,35,5.0
Wisconsin,9/1/2022,4747,3084,65.0,-1.2,2996,87,-8.9,2.8,206,38.3,-119,0.42,78,2.6,110,3.7
Wyoming,9/1/2022,457,293,64.1,-1.7,283,10,-25.1,3.5,22,29.4,-12,0.47,10,3.5,16,5.6
Alabama,8/1/2022,4022,2279,56.7,-0.6,2221,58,-21.5,2.6,136,37.4,-78,0.43,87,4.1,94,4.4
Alaska,8/1/2022,547,352,64.4,0.0,338,14,-27.0,3.9,41,78.3,-27,0.34,16,5.0,26,8.1
Arizona,8/1/2022,5850,3601,61.6,-0.4,3463,138,-18.3,3.8,227,42.8,-89,0.61,110,3.5,153,4.9
Arkansas,8/1/2022,2379,1365,57.4,-0.5,1321,44,-8.6,3.2,94,62.1,-50,0.47,42,3.3,62,4.8
California,8/1/2022,31224,19212,61.5,-1.5,18487,725,-15.7,3.8,1157,49.1,-432,0.63,435,2.4,693,3.9
Colorado,8/1/2022,4682,3170,67.7,-0.9,3088,83,-17.0,2.6,205,65.3,-122,0.40,74,2.6,130,4.5
Connecticut,8/1/2022,2948,1911,64.8,-1.5,1841,71,-5.0,3.7,113,61.4,-42,0.63,35,2.1,56,3.3
Delaware,8/1/2022,824,500,60.7,-0.4,479,20,18.5,4.1,35,59.1,-15,0.58,16,3.4,25,5.3
District of Columbia,8/1/2022,555,397,71.6,0.1,381,16,-30.6,4.0,40,21.2,-24,0.40,17,2.2,26,3.4
Florida,8/1/2022,18288,10744,58.7,-0.6,10440,304,-1.7,2.8,611,49.8,-307,0.50,298,3.1,405,4.3
Georgia,8/1/2022,8543,5275,61.7,-1.2,5109,166,-12.1,3.2,384,69.2,-218,0.43,183,3.8,269,5.6
Hawaii,8/1/2022,1128,678,60.1,-1.2,656,22,49.6,3.3,39,50.0,-17,0.57,15,2.4,25,4.0
Idaho,8/1/2022,1504,953,63.4,-0.8,925,28,9.4,2.9,59,47.5,-31,0.48,28,3.4,48,5.8
Illinois,8/1/2022,10076,6474,64.2,0.1,6183,291,17.3,4.5,391,49.8,-100,0.74,134,2.2,264,4.4
Indiana,8/1/2022,5359,3395,63.4,-0.8,3290,105,-9.8,3.1,188,26.2,-83,0.56,89,2.8,144,4.5
Iowa,8/1/2022,2515,1703,67.7,-1.5,1652,51,9.7,3.0,100,35.1,-49,0.51,42,2.7,63,4.0
Kansas,8/1/2022,2264,1511,66.7,-0.4,1468,43,-7.5,2.9,95,35.7,-52,0.45,33,2.3,55,3.9
Kentucky,8/1/2022,3541,2046,57.8,-0.8,1963,83,-2.4,4.1,155,76.1,-72,0.54,70,3.5,106,5.4
Louisiana,8/1/2022,3562,2070,58.1,0.1,1996,74,-23.3,3.6,135,37.8,-61,0.55,63,3.2,101,5.2
Maine,8/1/2022,1157,681,58.9,-3.2,664,17,-23.4,2.5,42,31.3,-25,0.40,15,2.3,25,3.9
Maryland,8/1/2022,4910,3181,64.8,-4.5,3085,96,-16.3,3.0,186,23.2,-90,0.52,79,2.9,109,4.0
Massachusetts,8/1/2022,5796,3785,65.3,-1.0,3646,140,18.4,3.7,252,35.5,-112,0.55,76,2.1,105,2.8
Michigan,8/1/2022,8087,4860,60.1,-1.2,4666,194,4.5,4.0,259,22.7,-65,0.75,89,2.0,168,3.8
Minnesota,8/1/2022,4525,3070,67.9,-2.1,2998,73,-34.0,2.4,206,71.7,-133,0.35,70,2.4,115,3.9
Mississippi,8/1/2022,2288,1259,55.0,-1.0,1212,47,-35.5,3.7,83,53.7,-36,0.57,47,4.0,61,5.2
Missouri,8/1/2022,4875,3052,62.6,-1.4,2974,78,-26.0,2.5,173,38.4,-95,0.45,71,2.4,132,4.5
Montana,8/1/2022,898,563,62.7,-1.0,548,15,-21.4,2.7,39,44.4,-24,0.39,21,4.1,31,6.0
Nebraska,8/1/2022,1522,1057,69.4,-0.7,1032,24,-23.7,2.3,61,24.5,-37,0.40,24,2.3,38,3.7
Nevada,8/1/2022,2533,1578,62.3,-1.9,1496,82,20.5,5.2,95,53.2,-13,0.87,44,2.9,76,5.1
New Hampshire,8/1/2022,1161,763,65.7,-2.6,743,19,-3.2,2.5,43,19.4,-24,0.44,18,2.6,25,3.6
New Jersey,8/1/2022,7481,4795,64.1,-0.4,4648,147,-24.6,3.1,243,28.6,-96,0.61,114,2.7,136,3.2
New Mexico,8/1/2022,1675,941,56.2,-1.6,910,32,-37.7,3.4,64,48.8,-32,0.49,25,2.9,41,4.8
New York,8/1/2022,16047,9658,60.2,-0.7,9291,366,-11.2,3.8,512,29.6,-146,0.72,179,1.9,296,3.1
North Carolina,8/1/2022,8471,5197,61.3,0.0,5002,195,3.0,3.8,349,52.4,-154,0.56,146,3.0,229,4.7
North Dakota,8/1/2022,600,413,68.7,-0.6,404,9,-4.6,2.1,27,17.4,-18,0.32,10,2.3,20,4.7
Ohio,8/1/2022,9355,5768,61.7,-1.8,5532,236,-11.9,4.1,368,42.1,-132,0.64,145,2.6,225,4.1
Oklahoma,8/1/2022,3096,1904,61.5,0.7,1845,59,2.1,3.1,127,62.8,-68,0.47,62,3.6,85,5.0
Oregon,8/1/2022,3465,2158,62.3,1.3,2072,86,15.9,4.0,131,17.0,-45,0.66,62,3.2,114,5.8
Pennsylvania,8/1/2022,10508,6483,61.7,-1.1,6216,267,-11.4,4.1,369,43.6,-102,0.72,153,2.5,205,3.4
Rhode Island,8/1/2022,905,577,63.8,-0.4,558,19,-7.3,3.4,36,56.5,-17,0.54,13,2.6,22,4.4
South Carolina,8/1/2022,4210,2425,57.6,-0.3,2347,78,13.6,3.2,161,54.8,-83,0.48,73,3.2,105,4.6
South Dakota,8/1/2022,695,474,68.2,-1.0,465,9,-19.2,2.0,29,38.1,-20,0.32,9,2.0,21,4.6
Tennessee,8/1/2022,5606,3378,60.3,-1.2,3265,113,-1.9,3.3,233,42.1,-120,0.49,119,3.6,165,5.0
Texas,8/1/2022,23109,14792,64.0,0.1,14242,551,9.7,3.7,891,68.4,-340,0.62,447,3.3,606,4.5
Utah,8/1/2022,2545,1751,68.8,0.5,1709,42,4.0,2.4,112,47.4,-70,0.38,52,3.1,85,5.0
Vermont,8/1/2022,542,343,63.3,-2.6,335,8,6.4,2.4,19,18.8,-11,0.43,9,2.9,12,3.9
Virginia,8/1/2022,6838,4437,64.9,-0.7,4318,119,-6.4,2.7,312,46.5,-193,0.38,109,2.6,167,4.1
Washington,8/1/2022,6224,3981,64.0,-1.5,3818,163,8.9,4.1,201,21.8,-38,0.81,78,2.2,126,3.5
West Virginia,8/1/2022,1432,780,54.5,-0.4,750,30,-27.9,3.9,56,27.3,-26,0.54,26,3.7,34,4.9
Wisconsin,8/1/2022,4743,3084,65.0,-1.1,2996,88,-8.5,2.8,186,24.8,-98,0.47,73,2.4,113,3.8
Wyoming,8/1/2022,457,293,64.2,-1.6,283,10,-25.4,3.5,22,29.4,-12,0.46,12,4.2,16,5.6
Alabama,7/1/2022,4019,2279,56.7,-0.5,2221,58,-21.1,2.6,164,65.7,-106,0.36,62,2.9,105,5.0
Alaska,7/1/2022,546,353,64.6,0.2,339,14,-23.8,4.1,30,30.4,-16,0.48,12,3.8,19,5.9
Arizona,7/1/2022,5841,3596,61.6,-0.4,3460,136,-19.2,3.8,247,55.3,-111,0.55,111,3.6,156,5.0
Arkansas,7/1/2022,2377,1364,57.4,-0.5,1321,44,-9.0,3.2,100,72.4,-56,0.44,40,3.1,65,5.0
California,7/1/2022,31208,19243,61.7,-1.4,18495,748,-13.0,3.9,1302,67.8,-554,0.57,402,2.3,603,3.4
Colorado,7/1/2022,4676,3175,67.9,-0.8,3088,87,-12.7,2.7,225,81.5,-138,0.39,80,2.8,106,3.7
Connecticut,7/1/2022,2946,1920,65.2,-1.1,1845,74,0.0,3.9,120,71.4,-46,0.62,36,2.2,73,4.4
Delaware,7/1/2022,822,500,60.8,-0.2,479,21,19.5,4.1,39,77.3,-18,0.53,15,3.2,28,6.0
District of Columbia,7/1/2022,554,397,71.6,0.2,380,17,-27.3,4.2,55,66.7,-38,0.30,15,2.0,25,3.3
Florida,7/1/2022,18248,10725,58.8,-0.5,10418,307,-0.7,2.9,636,55.9,-329,0.48,278,2.9,394,4.2
Georgia,7/1/2022,8532,5273,61.8,-1.1,5109,164,-13.6,3.1,457,101.3,-293,0.36,185,3.8,268,5.5
Hawaii,7/1/2022,1128,678,60.1,-1.2,656,22,49.5,3.3,42,61.5,-20,0.53,12,1.9,22,3.5
Idaho,7/1/2022,1501,953,63.4,-0.7,925,28,7.3,2.9,67,67.5,-39,0.41,25,3.0,41,4.9
Illinois,7/1/2022,10072,6482,64.4,0.2,6190,292,17.7,4.5,467,78.9,-175,0.63,139,2.3,259,4.3
Indiana,7/1/2022,5355,3396,63.4,-0.8,3292,104,-11.2,3.1,253,69.8,-149,0.41,91,2.8,138,4.3
Iowa,7/1/2022,2514,1701,67.7,-1.5,1653,48,5.0,2.8,110,48.6,-62,0.44,40,2.5,63,4.0
Kansas,7/1/2022,2263,1511,66.8,-0.3,1468,42,-9.5,2.8,119,70.0,-77,0.36,47,3.3,79,5.6
Kentucky,7/1/2022,3538,2048,57.9,-0.7,1965,83,-2.9,4.0,156,77.3,-73,0.53,57,2.9,99,5.0
Louisiana,7/1/2022,3561,2072,58.2,0.2,1997,75,-23.1,3.6,155,58.2,-80,0.48,62,3.2,97,5.0
Maine,7/1/2022,1156,682,59.1,-3.0,665,18,-20.3,2.6,49,53.1,-31,0.36,17,2.7,27,4.2
Maryland,7/1/2022,4907,3179,64.8,-4.5,3084,95,-17.6,3.0,209,38.4,-114,0.45,61,2.2,119,4.3
Massachusetts,7/1/2022,5792,3785,65.4,-1.0,3649,137,16.0,3.6,290,55.9,-153,0.47,97,2.6,120,3.3
Michigan,7/1/2022,8083,4860,60.1,-1.2,4665,195,4.7,4.0,342,62.1,-147,0.57,104,2.4,164,3.7
Minnesota,7/1/2022,4521,3069,67.9,-2.1,2999,70,-36.6,2.3,238,98.3,-168,0.29,66,2.2,114,3.9
Mississippi,7/1/2022,2287,1261,55.2,-0.9,1215,47,-35.9,3.7,95,75.9,-48,0.49,42,3.6,59,5.0
Missouri,7/1/2022,4872,3049,62.6,-1.4,2975,74,-29.6,2.4,220,76.0,-146,0.34,93,3.2,108,3.7
Montana,7/1/2022,897,563,62.7,-0.9,547,15,-20.7,2.7,46,70.4,-31,0.33,16,3.1,28,5.5
Nebraska,7/1/2022,1520,1057,69.5,-0.6,1033,24,-26.2,2.2,76,55.1,-52,0.31,25,2.4,41,4.0
Nevada,7/1/2022,2529,1570,62.1,-2.1,1489,81,19.2,5.2,105,69.4,-24,0.77,44,2.9,67,4.5
New Hampshire,7/1/2022,1161,763,65.7,-2.5,744,19,-5.9,2.4,56,55.6,-37,0.33,18,2.6,30,4.4
New Jersey,7/1/2022,7473,4784,64.0,-0.5,4625,159,-18.5,3.3,263,39.2,-104,0.60,90,2.1,153,3.6
New Mexico,7/1/2022,1674,943,56.4,-1.5,909,34,-32.2,3.6,83,93.0,-49,0.41,20,2.3,40,4.7
New York,7/1/2022,16037,9671,60.3,-0.6,9285,386,-6.3,4.0,612,54.9,-226,0.63,172,1.8,301,3.1
North Carolina,7/1/2022,8458,5196,61.4,0.1,5003,193,1.7,3.7,381,66.4,-188,0.51,141,2.9,251,5.2
North Dakota,7/1/2022,600,413,68.8,-0.5,404,8,-6.6,2.1,32,39.1,-24,0.26,12,2.8,20,4.7
Ohio,7/1/2022,9350,5770,61.7,-1.8,5538,232,-13.4,4.0,420,62.2,-188,0.55,116,2.1,238,4.3
Oklahoma,7/1/2022,3092,1902,61.5,0.7,1843,58,0.5,3.1,125,60.3,-67,0.47,50,2.9,84,4.9
Oregon,7/1/2022,3463,2161,62.4,1.4,2076,85,14.6,3.9,149,33.0,-64,0.57,44,2.2,81,4.1
Pennsylvania,7/1/2022,10504,6487,61.8,-1.1,6218,269,-10.6,4.2,447,73.9,-178,0.60,126,2.1,182,3.0
Rhode Island,7/1/2022,905,577,63.8,-0.4,559,19,-9.3,3.3,39,69.6,-20,0.49,13,2.6,20,4.0
South Carolina,7/1/2022,4202,2422,57.6,-0.2,2345,77,12.8,3.2,177,70.2,-100,0.43,74,3.3,113,5.0
South Dakota,7/1/2022,695,474,68.3,-0.9,465,9,-20.6,1.9,32,52.4,-23,0.29,12,2.6,21,4.6
Tennessee,7/1/2022,5599,3385,60.5,-1.0,3272,112,-2.4,3.3,276,68.3,-164,0.41,116,3.6,173,5.3
Texas,7/1/2022,23063,14785,64.1,0.2,14226,559,11.4,3.8,1028,94.3,-469,0.54,398,2.9,677,5.0
Utah,7/1/2022,2540,1748,68.8,0.6,1707,42,2.2,2.4,116,52.6,-74,0.36,42,2.5,68,4.0
Vermont,7/1/2022,542,343,63.3,-2.6,335,8,4.5,2.3,23,43.8,-15,0.35,7,2.3,11,3.6
Virginia,7/1/2022,6833,4429,64.8,-0.8,4313,116,-9.3,2.6,336,57.7,-220,0.34,110,2.7,207,5.0
Washington,7/1/2022,6218,3979,64.0,-1.4,3819,160,7.0,4.0,263,59.4,-103,0.61,79,2.2,146,4.1
West Virginia,7/1/2022,1432,781,54.5,-0.4,750,31,-27.4,3.9,71,61.4,-40,0.43,28,4.0,41,5.9
Wisconsin,7/1/2022,4740,3085,65.1,-1.0,2998,87,-8.8,2.8,208,39.6,-121,0.42,78,2.6,118,4.0
Wyoming,7/1/2022,456,293,64.1,-1.7,283,10,-26.2,3.5,23,35.3,-13,0.44,9,3.2,15,5.3
Alabama,6/1/2022,4016,2280,56.8,-0.5,2221,58,-21.1,2.6,161,62.6,-103,0.36,70,3.3,105,5.0
Alaska,6/1/2022,546,354,64.8,0.3,339,15,-20.7,4.2,31,34.8,-16,0.48,13,4.1,20,6.3
Arizona,6/1/2022,5831,3591,61.6,-0.4,3456,134,-20.3,3.7,233,46.5,-99,0.58,129,4.2,149,4.8
Arkansas,6/1/2022,2374,1364,57.4,-0.5,1320,44,-9.4,3.2,103,77.6,-59,0.42,41,3.2,64,5.0
California,6/1/2022,31195,19261,61.7,-1.3,18488,773,-10.1,4.0,1233,58.9,-460,0.63,381,2.2,630,3.6
Colorado,6/1/2022,4670,3180,68.1,-0.6,3088,92,-8.3,2.9,230,85.5,-138,0.40,68,2.4,125,4.4
Connecticut,6/1/2022,2945,1928,65.5,-0.8,1851,78,4.3,4.0,119,70.0,-41,0.65,37,2.2,66,4.0
Delaware,6/1/2022,821,500,60.9,-0.1,480,21,20.6,4.2,35,59.1,-14,0.59,18,3.8,23,4.9
District of Columbia,6/1/2022,554,397,71.6,0.1,379,18,-23.6,4.4,42,27.3,-24,0.42,19,2.5,24,3.2
Florida,6/1/2022,18204,10705,58.8,-0.5,10392,314,1.4,2.9,677,65.9,-363,0.46,296,3.1,439,4.7
Georgia,6/1/2022,8520,5271,61.9,-1.0,5110,161,-14.8,3.1,469,106.6,-308,0.34,243,5.1,304,6.3
Hawaii,6/1/2022,1128,677,60.0,-1.3,655,22,49.1,3.3,39,50.0,-17,0.57,15,2.4,22,3.6
Idaho,6/1/2022,1498,952,63.5,-0.7,925,27,4.8,2.8,66,65.0,-39,0.41,25,3.0,41,5.0
Illinois,6/1/2022,10074,6489,64.4,0.2,6195,294,18.4,4.5,438,67.8,-144,0.67,136,2.3,239,4.0
Indiana,6/1/2022,5352,3395,63.4,-0.7,3293,102,-12.5,3.0,211,41.6,-109,0.48,85,2.7,145,4.6
Iowa,6/1/2022,2513,1700,67.7,-1.5,1654,46,0.6,2.7,118,59.5,-72,0.39,39,2.5,67,4.3
Kansas,6/1/2022,2262,1511,66.8,-0.3,1469,41,-11.3,2.7,103,47.1,-62,0.40,36,2.6,56,4.0
Kentucky,6/1/2022,3536,2050,58.0,-0.6,1967,82,-3.6,4.0,165,87.5,-83,0.50,65,3.3,95,4.9
Louisiana,6/1/2022,3562,2075,58.2,0.3,1999,75,-22.3,3.6,153,56.1,-78,0.49,61,3.2,92,4.8
Maine,6/1/2022,1154,684,59.3,-2.8,666,18,-17.5,2.7,50,56.3,-32,0.37,19,3.0,26,4.1
Maryland,6/1/2022,4905,3180,64.8,-4.5,3083,97,-15.5,3.1,208,37.7,-111,0.47,81,3.0,125,4.6
Massachusetts,6/1/2022,5788,3788,65.4,-0.9,3650,137,16.4,3.6,304,63.4,-167,0.45,72,2.0,127,3.5
Michigan,6/1/2022,8080,4862,60.2,-1.2,4665,197,6.1,4.1,310,46.9,-113,0.64,96,2.2,187,4.3
Minnesota,6/1/2022,4519,3068,67.9,-2.1,3000,68,-38.3,2.2,215,79.2,-147,0.32,71,2.4,120,4.1
Mississippi,6/1/2022,2287,1264,55.3,-0.7,1217,47,-36.2,3.7,87,61.1,-40,0.54,42,3.6,60,5.2
Missouri,6/1/2022,4870,3046,62.6,-1.4,2974,72,-31.8,2.4,210,68.0,-138,0.34,76,2.6,121,4.1
Montana,6/1/2022,895,562,62.8,-0.9,547,15,-20.6,2.7,45,66.7,-30,0.34,20,3.9,29,5.7
Nebraska,6/1/2022,1519,1057,69.6,-0.5,1034,23,-28.8,2.1,72,46.9,-49,0.32,23,2.2,42,4.1
Nevada,6/1/2022,2526,1562,61.8,-2.3,1481,81,18.2,5.2,98,58.1,-17,0.82,42,2.8,65,4.4
New Hampshire,6/1/2022,1160,763,65.8,-2.4,745,18,-8.6,2.4,52,44.4,-34,0.35,17,2.5,31,4.6
New Jersey,6/1/2022,7469,4773,63.9,-0.6,4601,172,-12.0,3.6,279,47.6,-107,0.62,90,2.1,173,4.1
New Mexico,6/1/2022,1673,945,56.5,-1.3,908,37,-26.6,3.9,63,46.5,-26,0.59,27,3.2,34,4.0
New York,6/1/2022,16039,9680,60.4,-0.6,9275,405,-1.8,4.2,558,41.3,-153,0.73,181,1.9,287,3.0
North Carolina,6/1/2022,8445,5193,61.5,0.1,5003,190,0.3,3.7,374,63.3,-184,0.51,168,3.5,237,4.9
